Department_ID,Employee_ID,First_Name,Last_Name,Age,Gender,Department,Salary,Experience_Years,City,State,Country,Email,Phone,Joining_Date,Manager_Name,Performance_Score,Project_Count,Bonus,Work_Mode,Status
DPT03245,66,Jennifer,Middleton,28,Female,Finance,97267,29,East Michaelmouth,Rhode Island,Mozambique,alancurtis@example.net,4403334012,09-06-2024,Courtney Evans,7,5,40249,Office,Inactive
DPT03793,67,Rhonda,Mitchell,55,Female,Sales,56373,13,Stricklandville,Arkansas,Mongolia,william11@example.com,645-715-9849x9050,01-05-2021,Katie Gonzalez,7,5,45111,Remote,Inactive
DPT02771,68,Philip,Villarreal,29,Male,HR,114578,15,Kimhaven,Minnesota,Italy,jeremy11@example.net,6717719514,24-07-2019,Jason Garcia,1,14,14752,Hybrid,Active
DPT01136,69,Roberta,Lee,53,Female,Legal,67544,29,Mooreton,Washington,Pakistan,dschultz@example.com,001-271-752-8854x5123,16-11-2018,Kelly Lewis,1,9,45109,Office,Inactive
DPT04054,70,Dustin,Wagner,45,Male,Sales,45417,20,South Mary,South Carolina,Niue,dhoffman@example.com,+1-573-982-5525x574,10-01-2021,Catherine Wood,10,9,29807,Hybrid,Active
DPT03574,71,Gregory,Rosales,36,Male,Legal,119529,30,Port Sharon,Iowa,Poland,anthonygriffin@example.com,8788051124,13-07-2018,Vickie Miller,5,6,38053,Hybrid,Active
DPT01443,72,Kristie,Villanueva,47,Male,Support,51984,16,Olivialand,Alaska,Rwanda,lindanavarro@example.org,217.574.2803x015,16-10-2020,Mrs. Catherine Allen,4,13,30706,Office,Inactive
DPT01126,73,John,Figueroa,34,Female,Sales,112238,30,West Daniellemouth,New Hampshire,Bahamas,eric11@example.com,(982)349-1081x25065,13-09-2023,John Shields,10,9,40160,Hybrid,Inactive
DPT01951,74,David,Oliver,45,Male,Engineering,131975,12,East Candace,Hawaii,Azerbaijan,angelagardner@example.com,+1-359-858-6324x6892,19-09-2016,Jennifer Glover,7,13,36497,Hybrid,Active
DPT04519,75,David,Tucker,23,Male,Admin,94652,7,Katherineborough,Alabama,Guadeloupe,ronald83@example.org,(874)742-7715,08-07-2024,William Shepard,6,20,34071,Office,Active
DPT01842,76,Matthew,Curry,32,Male,Admin,37474,10,Port Kevin,Wisconsin,Ecuador,michelekim@example.net,757.936.5546x80018,01-01-2023,Carol Patterson,7,4,18791,Remote,Active
DPT03502,77,Anita,Lam,39,Male,Marketing,124250,14,Port Nicholas,South Dakota,Reunion,xdavis@example.net,(761)382-4916,05-07-2017,Aaron Thornton,7,1,16830,Hybrid,Inactive
DPT01160,78,Beverly,Wood,28,Male,Legal,76575,13,New Daniel,Indiana,Lao People's Democratic Republic,steelejohn@example.com,628-698-3564,19-07-2020,Angela Clark,10,18,7531,Hybrid,Active
DPT01667,79,Hunter,Cobb,50,Male,Legal,46315,30,East Anthony,Virginia,Cocos (Keeling) Islands,lisa40@example.com,(243)870-8739,10-08-2025,Brianna Barnes,9,7,15087,Office,Inactive
DPT01033,80,Misty,Hernandez,39,Male,IT,91715,3,East Christianfort,Kentucky,Latvia,ffaulkner@example.net,(999)250-3131x4851,29-07-2019,Cassandra Boyd,2,7,24709,Office,Active
DPT04337,81,Charles,Lewis,31,Male,Engineering,148254,19,Brownside,Wyoming,Vietnam,rstevenson@example.org,-6923,15-07-2019,Erin Scott,2,7,39678,Office,Active
DPT01159,82,Bryan,Perez,53,Female,IT,111969,6,Port Tammystad,Kentucky,Kiribati,gromero@example.com,(683)976-4524x87897,26-02-2017,Ryan Munoz,6,11,16160,Remote,Active
DPT02324,83,Tabitha,Sutton,41,Female,IT,71529,13,Lindseyshire,South Carolina,Western Sahara,richard07@example.com,851.855.8067x708,04-02-2026,Nathan Jones,7,4,28731,Hybrid,Inactive
DPT00617,84,Robert,Martinez,29,Female,Support,56796,9,Greenville,Florida,Gibraltar,jonesrandy@example.org,(232)918-6224x67929,12-03-2018,Brandon White,7,4,5747,Remote,Inactive
DPT00339,85,Denise,Scott,23,Female,Support,72245,1,Reedburgh,Nevada,United Kingdom,garciatimothy@example.org,756.800.0151,17-05-2025,Daniel Morales,4,10,44741,Hybrid,Active
DPT00111,86,Amy,Irwin,43,Male,Admin,129662,14,Port Joshua,Connecticut,South Africa,bensonsean@example.net,+1-287-691-9405x477,09-03-2021,Stephen Tucker,7,10,33883,Remote,Inactive
DPT00652,87,Joshua,Maxwell,33,Male,Operations,100138,4,Lake Darius,Connecticut,Palestinian Territory,jamiebrooks@example.org,251-254-2918,14-11-2025,Austin Goodwin,8,18,5932,Office,Active
DPT02097,88,Ryan,Cochran,40,Female,IT,138752,11,New Tony,Colorado,Korea,daveli@example.net,7035009439,23-04-2023,Lindsay Gibson,7,20,32903,Remote,Inactive
DPT04713,89,Bryan,Jones,48,Male,Operations,56503,16,North Davidstad,Wisconsin,Cayman Islands,ramirezcarlos@example.com,(684)544-6300x36179,12-11-2025,Emily Cardenas,1,4,17161,Office,Inactive
DPT00078,90,Marissa,Hansen,39,Male,Support,83618,15,Dustinberg,Massachusetts,Nepal,bruce08@example.net,001-280-835-1540,07-09-2016,Taylor Fernandez DDS,10,5,30066,Office,Active
DPT01454,91,Larry,Benjamin,51,Male,Operations,108969,24,New Robinmouth,Indiana,British Virgin Islands,erikwoods@example.com,481-714-6900x869,20-09-2017,Betty Webb,7,13,49890,Remote,Inactive
DPT04763,92,Jason,Thompson,29,Male,Finance,118550,20,Andersonborough,Texas,Spain,smithjeffrey@example.org,355.235.6627x695,23-04-2022,Patricia Smith,4,4,39523,Hybrid,Active
DPT01718,93,Michael,Washington,40,Male,Admin,92867,20,Frenchside,Massachusetts,Malaysia,nclark@example.org,200.245.9826x9942,16-02-2020,Erin Mullins,10,17,36032,Hybrid,Active
DPT02031,94,Brandy,Dunlap,31,Female,Finance,74045,8,Clarkview,Arkansas,Oman,lherrera@example.com,001-279-242-0844x301,06-02-2020,Mark Alvarado,5,16,8481,Remote,Inactive
DPT00466,95,Kirsten,Clark,51,Female,Legal,136266,19,Hansonport,Missouri,Ghana,nicholasburnett@example.net,(357)645-9080,16-12-2018,Dylan Smith,1,18,29560,Office,Active
DPT02760,96,Mary,Becker,23,Female,Operations,53720,18,South Jeffreymouth,Connecticut,Sierra Leone,george37@example.com,(409)350-6275x51866,21-09-2016,April Mccarthy,2,9,42037,Remote,Inactive
DPT00112,97,Laura,Clark,53,Female,Engineering,49270,18,Arielburgh,Tennessee,Finland,shannon29@example.org,001-385-258-2120x59104,16-10-2017,Kyle Martin,8,9,19866,Office,Inactive
DPT02918,98,Ann,Gordon,21,Female,Marketing,144646,14,North Krista,Massachusetts,Denmark,scottgillespie@example.com,7978709636,05-08-2017,Marcus Ortiz,1,1,38489,Hybrid,Inactive
DPT03514,99,Stephen,Clark,32,Male,Admin,32253,19,North Clayton,Wyoming,Montserrat,kelliegillespie@example.org,001-940-565-5140x0371,14-02-2021,Julie Gonzalez,8,10,25210,Hybrid,Active
DPT01541,100,Marissa,Moreno,41,Female,Marketing,104341,30,Walkerland,New Jersey,Niue,joshua15@example.org,237.574.4179x532,03-12-2019,Bobby Smith,5,5,28503,Hybrid,Inactive
DPT01279,101,Julia,Jones,46,Female,Finance,55988,1,Myershaven,Illinois,Croatia,tylerking@example.org,850.996.8449,10-11-2024,Paige Miller,7,13,44358,Office,Active
DPT04103,102,Christopher,Jackson,29,Male,Legal,89116,7,Lake William,Tennessee,Zimbabwe,jonesblake@example.com,(616)574-9485,15-07-2016,Erin Conway,1,1,43565,Remote,Inactive
DPT01686,103,Erica,Spencer,50,Female,Operations,47618,17,East Kevin,North Dakota,Antarctica (the territory South of 60 deg S),john05@example.com,3843342391,26-04-2026,Michael Abbott,6,3,7707,Remote,Active
DPT02474,104,Jessica,Henderson,42,Male,IT,43559,18,Lake Alexisville,South Carolina,Jersey,summerslori@example.com,202-438-1994,24-10-2016,Megan Henderson,1,13,42353,Office,Active
DPT02756,105,John,Jones,27,Female,Admin,102845,2,Shepherdfurt,Washington,Comoros,ochoamichael@example.org,(827)931-7726x5996,27-05-2025,Gabriella Haynes,5,13,17839,Hybrid,Inactive
DPT02317,106,Kristina,Hanson,54,Female,IT,104648,7,Kellyborough,Oklahoma,South Africa,rhamilton@example.org,7082848559,13-02-2018,Christian Ward,1,17,31886,Hybrid,Active
DPT01577,107,Steven,Kelley,60,Female,Finance,93179,18,Lake Bradleyhaven,Kentucky,Bermuda,figueroashawn@example.net,8698412200,13-10-2024,Jacob Barker,8,2,30896,Remote,Active
DPT02636,108,Brian,Yang,60,Female,IT,137941,12,South Tammy,North Dakota,Romania,rstanley@example.net,(601)522-6771,05-12-2019,April Moore,6,4,42365,Hybrid,Active
DPT00545,109,Jamie,Ritter,41,Male,Finance,54694,7,Hendersonton,Oklahoma,Libyan Arab Jamahiriya,deborah17@example.org,(433)240-5185,05-12-2018,Matthew Conner,1,19,7199,Remote,Inactive
DPT01144,110,Heather,Hayes,46,Female,HR,143809,13,Lake Christinafort,Delaware,Turks and Caicos Islands,hartmancindy@example.org,001-253-784-2021x2928,11-09-2021,Daniel Mann,6,8,5923,Hybrid,Inactive
DPT03173,111,Gregory,Wilson,59,Male,Engineering,87002,7,West Melissahaven,New Hampshire,Suriname,jjackson@example.org,(798)463-2449x185,30-09-2018,Jessica Hess,3,14,22049,Remote,Active
DPT04945,112,Erica,Banks,49,Female,Admin,51383,8,South Geoffrey,New Mexico,Chile,bdelgado@example.org,293.682.6650x4596,08-04-2023,Justin Davis,9,20,26748,Remote,Inactive
DPT04571,113,Whitney,Smith,57,Male,IT,124248,11,Port Amy,Indiana,Kiribati,schmidtcody@example.net,(761)938-4221,16-11-2020,Mrs. Lori Bell,4,19,22952,Remote,Inactive
DPT04672,114,Michael,Tucker,43,Female,Marketing,108660,1,Reynoldsstad,Mississippi,Tokelau,lindaadams@example.net,442.750.3470x208,25-06-2024,Brittany Neal,4,14,34496,Remote,Active
DPT00460,115,Patricia,Mcbride,57,Female,Support,57619,27,Hernandezberg,Tennessee,Saint Vincent and the Grenadines,barronsarah@example.org,531.689.6623x8427,15-02-2017,Chase Garza,9,3,32945,Office,Inactive
DPT02257,116,Kevin,Wallace,43,Female,IT,128821,5,Lake Gregoryside,Michigan,Hungary,karenhendricks@example.net,+1-730-569-3987x13141,08-09-2019,Travis Powell,7,4,32353,Remote,Inactive
DPT01704,117,Deanna,Myers,43,Female,Admin,96535,24,Paulland,Louisiana,Czech Republic,danieldouglas@example.org,+1-225-902-6912x30543,03-02-2018,Jose Bell,8,3,11662,Remote,Inactive
DPT03957,118,Jacqueline,Guzman,50,Male,Marketing,85985,11,East Nicholas,Washington,Malaysia,pearsonmorgan@example.org,001-530-552-0421x965,02-12-2021,Miguel Simpson,2,16,15841,Hybrid,Active
DPT02240,119,Derek,White,35,Female,Engineering,112301,28,North Kelly,North Dakota,Micronesia,chungjessica@example.net,8374364243,26-08-2022,Ashley Mcbride,8,4,27974,Hybrid,Inactive
DPT00765,120,Sarah,Lewis,24,Female,Support,81773,6,Youngstad,Texas,Uganda,jeremy21@example.net,776-944-7158x59908,10-11-2016,Jordan Reed,2,5,17389,Hybrid,Active
DPT01747,121,Jessica,Herrera,23,Female,HR,128675,2,New Kevin,Tennessee,Macao,willisalexander@example.net,934-893-4054x681,24-10-2016,Kristin Neal,4,9,48006,Remote,Active
DPT04006,122,Michael,Watson,26,Female,Legal,70136,16,Michaelfort,Indiana,Saint Helena,mstone@example.com,804-837-2391,15-05-2022,Ashley Evans,7,8,5283,Office,Active
DPT01304,123,Jeffrey,King,42,Male,Sales,111375,30,West Jessehaven,Indiana,Bahrain,richardharris@example.com,+1-436-750-9827x765,18-12-2022,Heather Maddox,1,6,49743,Hybrid,Active
DPT03620,124,Richard,Thompson,59,Male,Marketing,146992,9,Erinton,Kentucky,Chile,wriley@example.org,(854)287-6347,01-12-2019,Mrs. Stephanie Banks DDS,4,3,32865,Office,Inactive
DPT03949,125,Sarah,Aguilar,38,Female,HR,98180,6,West Kristinfurt,Oregon,Monaco,jenniferperkins@example.net,613.749.5440x9273,22-06-2019,Paul Mitchell,7,15,22353,Office,Inactive
DPT02968,126,Brenda,Ward,60,Male,IT,59246,13,Wintersburgh,Wyoming,Faroe Islands,sandersseth@example.com,001-931-504-5687x831,28-12-2022,Jeffrey Rasmussen,5,10,13742,Remote,Active
DPT00438,127,John,Pace,21,Male,Legal,145825,16,North Janefurt,Arizona,Slovenia,pallen@example.org,(616)518-0469,01-02-2025,Jackie Bryant,8,20,24092,Remote,Inactive
DPT00531,128,Theodore,Vasquez,31,Female,Engineering,59876,16,Port Thomasland,North Carolina,Slovakia (Slovak Republic),michaelhahn@example.net,001-212-916-2608x570,20-10-2025,Melissa Smith,7,12,38686,Office,Active
DPT03735,129,Daniel,Ramirez,38,Female,IT,64839,1,East Shelly,Mississippi,Italy,robertswilliam@example.com,606-980-3372,15-05-2019,Darlene Black,7,3,32268,Office,Active
DPT03407,130,Tonya,Barrera,27,Female,Engineering,99819,17,North Juantown,New Jersey,Madagascar,jamiecarpenter@example.org,001-587-522-5049,23-05-2025,Cindy Smith,6,8,37054,Remote,Active
DPT01900,131,Carmen,Chavez,29,Male,Sales,54136,10,Sharonstad,Kansas,Benin,ysmith@example.net,(479)276-4331,30-12-2024,Jason Trevino,4,17,20305,Hybrid,Inactive
DPT03198,132,Colin,Morgan,44,Female,IT,61884,23,Lake Jennifer,Delaware,Japan,brandon06@example.org,203-221-4969x111,20-03-2022,John Williams,10,15,45016,Remote,Active
DPT04434,133,Joseph,Ramos,56,Female,IT,114914,4,North Saraburgh,Massachusetts,Saint Martin,millersabrina@example.net,001-228-682-3346,11-09-2023,Kevin Walker,9,8,34731,Hybrid,Active
DPT03928,134,Kayla,Olsen,52,Female,IT,38801,4,Riverashire,Kansas,Puerto Rico,jonathan12@example.org,-5803,24-04-2026,Darlene Rios,10,3,25406,Remote,Active
DPT03147,135,Corey,Walker,23,Male,Finance,39466,24,West Elizabeth,Maryland,Kenya,vclark@example.com,3535637247,22-11-2022,Diane Diaz,1,4,40562,Remote,Active
DPT00907,136,Nicole,Davis,58,Female,Legal,66302,27,Malloryview,Connecticut,Serbia,nharris@example.org,878-286-5972,01-07-2018,Michael Johnson,9,4,35517,Hybrid,Inactive
DPT02540,137,Ray,Fitzgerald,51,Male,Sales,63613,2,Brownshire,Massachusetts,Eritrea,turnerjennifer@example.net,284.396.6931,29-05-2019,Stephen Smith,9,6,17804,Remote,Inactive
